"","total_pop_2010","ACCESS2_CrudePrev","ARTHRITIS_CrudePrev","BINGE_CrudePrev","BPHIGH_CrudePrev","BPMED_CrudePrev","CANCER_CrudePrev","CASTHMA_CrudePrev","CERVICAL_CrudePrev","CHD_CrudePrev","CHECKUP_CrudePrev","CHOLSCREEN_CrudePrev","COLON_SCREEN_CrudePrev","COPD_CrudePrev","COREM_CrudePrev","COREW_CrudePrev","CSMOKING_CrudePrev","DENTAL_CrudePrev","DEPRESSION_CrudePrev","DIABETES_CrudePrev","GHLTH_CrudePrev","HIGHCHOL_CrudePrev","KIDNEY_CrudePrev","LPA_CrudePrev","MAMMOUSE_CrudePrev","MHLTH_CrudePrev","OBESITY_CrudePrev","PHLTH_CrudePrev","SLEEP_CrudePrev","STROKE_CrudePrev","TEETHLOST_CrudePrev","id","year","radius"
"11","7288.163693","9.459773","20.683091","17.072901","25.016708","65.375052","6.456626","9.320826","81.653869","5.00048","69.71932","84.464605","65.627488","4.440371","36.262991","31.122564","11.81215","70.818828","0","8.670672","0","29.069272","2.525893","15.300132","72.974498","12.14251","23.937743","10.358569","30.964872","2.661888","7.769811",7,2017,1000
"12","7288.163693","9.459773","20.683091","17.072901","25.016708","65.375052","6.456626","9.320826","81.653869","5.00048","69.71932","84.464605","65.627488","4.440371","36.262991","31.122564","11.81215","70.818828","0","8.670672","0","29.069272","2.525893","15.300132","72.974498","12.14251","23.937743","10.358569","30.964872","2.661888","7.769811",7,2018,1000
"13","9356.615017","11.339119","20.574493","13.691391","29.349439","68.875034","5.551258","9.219592","78.824988","5.352123","71.894651","84.943723","61.679216","4.383687","31.940412","28.969666","12.524334","65.268177","0","12.027526","0","30.885919","2.807544","18.958896","74.182622","11.863417","24.766816","11.418333","34.121969","3.071745","8.969196",8,2017,1000
"14","9356.615017","11.339119","20.574493","13.691391","29.349439","68.875034","5.551258","9.219592","78.824988","5.352123","71.894651","84.943723","61.679216","4.383687","31.940412","28.969666","12.524334","65.268177","0","12.027526","0","30.885919","2.807544","18.958896","74.182622","11.863417","24.766816","11.418333","34.121969","3.071745","8.969196",8,2018,1000
"15","13569.980616","5.800368","14.118504","22.018018","16.958412","55.692643","4.977587","8.551673","86.053121","2.769848","66.118261","84.178484","71.181368","2.461954","41.017447","35.316878","8.089341","79.69701","0","4.68652","0","22.714291","1.573552","9.123028","76.458104","10.268773","20.952799","6.568117","27.469832","1.431876","3.838284",9,2017,1000
"16","13569.980616","5.800368","14.118504","22.018018","16.958412","55.692643","4.977587","8.551673","86.053121","2.769848","66.118261","84.178484","71.181368","2.461954","41.017447","35.316878","8.089341","79.69701","0","4.68652","0","22.714291","1.573552","9.123028","76.458104","10.268773","20.952799","6.568117","27.469832","1.431876","3.838284",9,2018,1000
"17","7560.160455","7.607681","19.860406","17.666666","23.37648","64.148178","6.431264","9.085583","83.929636","4.462169","69.896135","86.151736","67.613666","3.915375","38.219654","32.93087","10.250184","74.586796","0","7.742856","0","28.318461","2.29626","13.232015","74.87046","11.098315","23.463757","9.406606","29.568614","2.338195","6.129148",10,2017,1000
"18","7560.160455","7.607681","19.860406","17.666666","23.37648","64.148178","6.431264","9.085583","83.929636","4.462169","69.896135","86.151736","67.613666","3.915375","38.219654","32.93087","10.250184","74.586796","0","7.742856","0","28.318461","2.29626","13.232015","74.87046","11.098315","23.463757","9.406606","29.568614","2.338195","6.129148",10,2018,1000
"19","14405.384558","8.341789","16.950372","18.996675","22.828614","62.410955","5.176451","9.528074","84.366425","3.711397","68.851145","84.233031","67.749868","3.26734","34.573461","30.421213","10.509372","72.836825","0","7.661338","0","24.99772","2.170362","12.931197","77.454731","11.740169","25.213128","8.724984","31.023003","2.251286","7.116703",11,2017,1000
"20","14405.384558","8.341789","16.950372","18.996675","22.828614","62.410955","5.176451","9.528074","84.366425","3.711397","68.851145","84.233031","67.749868","3.26734","34.573461","30.421213","10.509372","72.836825","0","7.661338","0","24.99772","2.170362","12.931197","77.454731","11.740169","25.213128","8.724984","31.023003","2.251286","7.116703",11,2018,1000
"21","6594.360773","14.118521","21.290295","13.541956","31.630542","67.975625","5.252136","10.362363","77.690768","5.61001","71.7746","83.030787","58.708083","5.190977","29.326114","26.994531","15.225292","59.446675","0","12.988655","0","31.021712","2.984742","21.747181","74.211951","13.934439","28.008412","13.241521","36.771532","3.466346","12.251756",12,2017,1000
"22","6594.360773","14.118521","21.290295","13.541956","31.630542","67.975625","5.252136","10.362363","77.690768","5.61001","71.7746","83.030787","58.708083","5.190977","29.326114","26.994531","15.225292","59.446675","0","12.988655","0","31.021712","2.984742","21.747181","74.211951","13.934439","28.008412","13.241521","36.771532","3.466346","12.251756",12,2018,1000
"23","13949.876723","6.919799","15.000745","20.589711","17.98832","57.208735","4.85203","9.113414","81.74538","3.259446","66.398111","81.793968","68.268638","2.964522","37.95828","32.823295","9.284366","75.503054","0","5.439073","0","23.339025","1.796079","10.769482","75.845699","11.793843","21.786642","7.650138","28.573761","1.65648","5.405647",13,2017,1000
"24","13949.876723","6.919799","15.000745","20.589711","17.98832","57.208735","4.85203","9.113414","81.74538","3.259446","66.398111","81.793968","68.268638","2.964522","37.95828","32.823295","9.284366","75.503054","0","5.439073","0","23.339025","1.796079","10.769482","75.845699","11.793843","21.786642","7.650138","28.573761","1.65648","5.405647",13,2018,1000
"25","20639.752072","8.597769","14.17377","20.795691","18.934564","56.535115","4.260701","9.442322","81.908439","3.135902","66.06847","81.305645","66.676141","2.964608","34.769866","31.192702","10.787184","72.061931","0","6.203559","0","22.134624","1.846005","12.145095","76.406037","12.622206","23.869395","8.093299","30.815175","1.843516","6.979047",14,2017,1000
"26","20639.752072","8.597769","14.17377","20.795691","18.934564","56.535115","4.260701","9.442322","81.908439","3.135902","66.06847","81.305645","66.676141","2.964608","34.769866","31.192702","10.787184","72.061931","0","6.203559","0","22.134624","1.846005","12.145095","76.406037","12.622206","23.869395","8.093299","30.815175","1.843516","6.979047",14,2018,1000
"27","767.5684","10.3","18.8","17.6","25.5","63.8","5.3","8.9","80.5","4.9","68.8","84.3","61.8","4.1","34.1","29.9","12.6","68.2","0","10","0","28.8","2.5","16","74","11.9","25.3","10.6","32.8","2.6","7.4",15,2017,1000
"28","767.5684","10.3","18.8","17.6","25.5","63.8","5.3","8.9","80.5","4.9","68.8","84.3","61.8","4.1","34.1","29.9","12.6","68.2","0","10","0","28.8","2.5","16","74","11.9","25.3","10.6","32.8","2.6","7.4",15,2018,1000
"29","8290.741035","6.233262","19.920598","18.880126","22.716539","62.962076","6.947317","8.899799","87.471172","4.134737","69.924108","87.613931","70.372876","3.558421","40.488864","34.710978","9.266316","78.634177","0","6.793034","0","28.197239","2.135113","11.412658","74.981903","10.228171","23.30213","8.478371","28.033586","2.096767","4.748848",17,2017,1000
